,model_name,model_year,kms_driven,mileage,power,price,company,engine
580,Bajaj Avenger,2015,25000.0,40.0,19.0,70000.0,Bajaj,220.0
581,Bajaj Pulsar,2017,50000.0,38.0,21.0,72000.0,Bajaj,220.0
582,Royal Enfield,2013,36282.0,35.0,19.8,110000.0,Royal,350.0
583,Suzuki Gixxer,2019,23000.0,63.0,14.0,85000.0,Suzuki,150.0
584,Hero Glamour,2006,72000.0,55.0,8.9,5850.0,Hero,125.0
585,Royal Enfield,2016,30000.0,35.0,19.8,130000.0,Royal,350.0
586,Suzuki Fiero,2002,45000.0,53.0,12.0,3900.0,Suzuki,150.0
587,Royal Enfield,2018,7226.0,40.0,19.8,120000.0,Royal,350.0
588,Bajaj Pulsar,2013,38000.0,65.0,15.0,31500.0,Bajaj,180.0
589,Bajaj Pulsar,2013,58000.0,38.0,21.0,34600.0,Bajaj,220.0
590,KTM Duke,2018,97000.0,25.0,42.9,104000.0,KTM,390.0
591,Bajaj Pulsar,2016,98000.0,38.0,21.0,53000.0,Bajaj,220.0
592,Yamaha FZS,2018,4578.0,52.0,12.9,76000.0,Yamaha,150.0
593,Hero Karizma,2008,23910.0,40.0,17.0,25000.0,Hero,223.0
594,Bajaj Pulsar,2020,3450.0,62.0,11.64,80000.0,Bajaj,125.0
595,Bajaj Pulsar,2020,84000.0,62.0,11.64,62000.0,Bajaj,125.0
596,Yamaha FZ25,2019,10000.0,43.0,20.3,130000.0,Yamaha,250.0
597,Bajaj Pulsar,2016,48853.0,38.0,21.0,85000.0,Bajaj,220.0
598,Royal Enfield,2007,25000.0,30.0,19.8,78000.0,Royal,350.0
599,Bajaj Pulsar,2016,85000.0,38.0,21.0,46000.0,Bajaj,220.0
600,Royal Enfield,2016,21000.0,32.0,27.2,160000.0,Royal,500.0
601,Bajaj Pulsar,2017,49000.0,38.0,21.0,58900.0,Bajaj,220.0
602,Bajaj Pulsar,2020,39000.0,62.0,11.64,73000.0,Bajaj,125.0
603,Bajaj Pulsar,2020,93000.0,62.0,11.64,59700.0,Bajaj,125.0
604,Bajaj V15,2017,5200.0,57.0,11.8,37500.0,Bajaj,150.0
605,Hero Passion,2008,54500.0,55.0,7.5,15500.0,Hero,100.0
606,Yamaha FZs,2015,45000.0,45.0,13.0,55000.0,Yamaha,150.0
607,Bajaj Pulsar,2021,72000.0,62.0,11.64,55300.0,Bajaj,125.0
608,Bajaj Pulsar,2015,29000.0,45.0,17.0,47000.0,Bajaj,180.0
609,KTM RC,2018,13500.0,35.0,25.1,165000.0,KTM,200.0
610,Mahindra Centuro,2014,38000.0,60.0,8.5,30000.0,Mahindra,110.0
611,Bajaj V15,2016,15000.0,57.0,11.8,38000.0,Bajaj,150.0
612,Bajaj V15,2017,14000.0,57.0,11.8,39000.0,Bajaj,150.0
613,KTM RC,2018,16000.0,35.0,25.1,175000.0,KTM,200.0
614,Royal Enfield,2018,18000.0,35.0,19.8,136000.0,Royal,350.0
615,Royal Enfield,2015,28000.0,37.0,19.8,85000.0,Royal,350.0
616,Royal Enfield,2018,15000.0,35.0,19.8,145000.0,Royal,350.0
617,Bajaj Pulsar,2017,28000.0,65.0,17.0,58700.0,Bajaj,180.0
618,Royal Enfield,2017,23000.0,35.0,19.8,150000.0,Royal,350.0
619,Yamaha FZS,2018,12000.0,52.0,12.9,70000.0,Yamaha,150.0
620,Yamaha YZF-R15,2013,50562.0,42.0,16.7,59999.0,Yamaha,150.0
621,Royal Enfield,2014,15000.0,25.0,27.2,110000.0,Royal,500.0
622,Royal Enfield,2016,40600.0,35.0,19.8,120000.0,Royal,350.0
623,Royal Enfield,2016,23000.0,37.0,19.8,125000.0,Royal,350.0
624,Bajaj Pulsar,2020,75000.0,62.0,11.64,65000.0,Bajaj,125.0
625,Hero Splendor,2019,8015.0,55.0,8.2,45000.0,Hero,100.0
626,Royal Enfield,2012,26000.0,40.0,19.8,65000.0,Royal,350.0
